feature,description
color_spatial_range_rgb_g,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
color_spatial_var_rgb_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
color_spatial_range_rgb_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
color_spatial_var_lab_l,Variance of 4 by 4 grid-cell mean CIELAB lightness; captures spatial unevenness in brightness.
color_spatial_range_lab_l,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
color_spatial_var_lab_a,Variance of 4 by 4 grid-cell mean CIELAB red-green channel; captures spatial color arrangement.
color_spatial_range_lab_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
color_spatial_var_lab_b,Variance of 4 by 4 grid-cell mean CIELAB yellow-blue channel; captures spatial color arrangement.
color_spatial_range_lab_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
halation_bright_threshold_luma,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
halation_bright_fraction,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
halation_ring_fraction,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
red_highlight_excess_mean,Mean red dominance inside the brightest pixels.
warm_highlight_excess_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
halation_ring_red_excess_mean,Mean red-excess near bright highlights; useful for CineStill-style halation response.
halation_ring_red_excess_p95,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
halation_background_red_excess_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
halation_index_ring_minus_background,Red-excess difference between rings around bright regions and the background; proxy for red halation.
local_lab_cov_l_a_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_cov_l_a_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_cov_l_a_abs_mean,Mean absolute local covariance between Lab lightness and red-green values across 8 by 8 patches.
local_lab_cov_l_a_p90_abs,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_l_a_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_l_a_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_l_a_abs_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_l_a_p90_abs,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_cov_l_b_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_cov_l_b_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_cov_l_b_abs_mean,Mean absolute local covariance between Lab lightness and yellow-blue values across 8 by 8 patches.
local_lab_cov_l_b_p90_abs,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_l_b_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_l_b_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_l_b_abs_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_l_b_p90_abs,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_cov_a_b_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_cov_a_b_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_cov_a_b_abs_mean,Mean absolute local covariance between Lab red-green and yellow-blue values across 8 by 8 patches.
local_lab_cov_a_b_p90_abs,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_a_b_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_a_b_sd,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_a_b_abs_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
local_lab_corr_a_b_p90_abs,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_circular_mean_turns,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_resultant_length,Circular concentration of saturated-pixel hue; higher values indicate a tighter dominant hue.
hue_circular_variance,Circular variance of saturated-pixel hue; higher values indicate more dispersed hue structure.
hue_warm_share,"Share of saturated pixels in warm red, orange, or yellow hue ranges."
hue_red_orange_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_yellow_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_green_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_teal_cyan_share,Share of saturated pixels in teal or cyan hue ranges.
hue_blue_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_magenta_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
hue_red_orange_highlight_share,Share of saturated highlight pixels in red-orange hue ranges.
hue_teal_cyan_shadow_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
shadow_lab_l,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
shadow_lab_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
shadow_lab_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
shadow_warmth_rgb_r_minus_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
shadow_saturation,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
shadow_red_excess,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
midtone_lab_l,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
midtone_lab_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
midtone_lab_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
midtone_warmth_rgb_r_minus_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
midtone_saturation,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
midtone_red_excess,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
midtone_fraction,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_lab_l,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_lab_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_lab_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_warmth_rgb_r_minus_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_saturation,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_red_excess,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_minus_shadow_lab_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_minus_shadow_lab_b,Difference in Lab yellow-blue position between highlight and shadow tonal regions.
highlight_minus_shadow_warmth,Difference in red-minus-blue warmth between highlight and shadow tonal regions.
highlight_minus_shadow_saturation,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
split_tone_distance_lab_ab,Euclidean distance between highlight and shadow means in Lab a-b chroma space.
midtone_shadow_lab_b_delta,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_midtone_lab_b_delta,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
luma_skewness,Skewness of the luminance distribution.
luma_kurtosis_excess,Excess kurtosis of the luminance distribution.
shadow_compression_ratio,Lower-tonal spread proxy comparing shadows to the main 5th-to-95th percentile range.
highlight_compression_ratio,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
highlight_rolloff_ratio,Upper-tail luminance compression proxy comparing extreme highlights to the upper midtone spread.
shadow_rolloff_ratio,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
upper_lower_luma_spread_ratio,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
midtone_luma_width_p75_p25,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
extreme_tail_luma_width,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
lower_tail_luma_width_p10_p01,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
upper_tail_luma_width_p99_p90,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
fft_low_freq_power_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
fft_mid_freq_power_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
fft_high_freq_power_share,Share of Fourier power in high spatial frequencies; proxy for grain and fine texture.
fft_high_mid_power_ratio,Ratio of high-frequency to mid-frequency Fourier power.
fft_high_low_power_ratio,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
fft_radial_loglog_slope,Slope of the radial Fourier power spectrum on log-log axes.
fft_low_freq_log_power_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
fft_mid_freq_log_power_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
fft_high_freq_log_power_mean,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
palette_entropy_6,Entropy of a six-cluster Lab color palette.
palette_effective_clusters_6,Effective number of color clusters implied by the six-cluster palette entropy.
palette_top1_share,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
palette_top2_share_gap,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
palette_top2_lab_distance,Lab distance between the two most common palette clusters.
palette_mean_pairwise_lab_distance,Mean Lab distance among all palette cluster centers.
palette_weighted_pairwise_lab_distance,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
palette_within_cluster_lab_rmse,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
palette_dominant_lab_l,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
palette_dominant_lab_a,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
palette_dominant_lab_b,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
palette_dominant_lab_chroma,"Image-derived numeric feature for color, contrast, texture, structure, or spatial distribution."
